,Numbers,Location,Size,Rocktype,Volume,Weight,Height above sea level,Compass,Distance,Number of Boulders mentioned,Extra,Author,Paragraph,Page
0,0,,,sienitic - gneiss - slate,,,,,,1,clay,,3,3
1,1,vertical,,sienitic - gneiss - slate,,,,,,1,clay,,3,3
2,2,N.N.W.,,,,,,"N.N.W.,",,3,,,4,3
3,3,,10 x 5 x 4 - 9 x 5 x 4,,,,,"W.N. - W,",,1,,,1,4
4,4,Crinan Canal,,,,,,,,1,,,2,4
5,5,Crinan Canal - N.W. - S.E,,,,,,N.W. - S.E.,,1,bed,Jamieson,4,4
6,6,2. Oban - Old Conglomerate,,Conglomerate,,,,,,1,,Oban.,5,4
7,7,2. Oban - N. - N.W,diameter : 7 feet,granite - porphyry - white felspar,,,,N. - N.W.,,1,,,2,5
8,8,2. Oban - Dunans Knoll - N.W,,granite - conglomerate,,,,N.W. - S.E.,,1,Knoll - knoll,,3,5
9,9,2. Oban - Dunans Knoll - N.W,,slate - granite - gneiss,,,,,,1,gravel - clay - pebbles - bed,,4,5
10,10,2. Oban - S.E.,,conglomerate,,,,"S.E.,",,1,knoll,,5,5
11,11,2. Oban,5 x 3 x 3,granite,,,,"N. - E. - S. - W,",,1,bed - clay,,1,6
12,12,2. Oban - Plate I. - Professor Blackie,long : 80 feet - diameter : 4 feet,granite - slate,,,height above sea level : 300 feet - height above sea level : 600 feet - height above sea level : 120 feet,,,2,,,2,6
13,13,2. Oban - Plate I. - Professor Blackie,,,,,,,,1,gravel,,3,6
14,14,2. Oban - Plate I. - Professor Blackie,4 x 3 x 3,granite,,,,N.N.E.,,1,,,4,6
15,15,2. Oban - Oban Bay,,granite - conglomerate,,,,W. - N.,,1,,,5,6
16,16,2. Oban,,granite - conglomerate,,,,,,4,,Duns,1,7
17,17,2. Oban - Kerrara Island - Bal-na-bok Bay,height : 100 feet,conglomerate - granite,,,,,,1,,,2,7
18,18,2. Oban - Kerrara Island - Bal-na-bok Bay,8 x 5 x 4,granite,,,,,,1,,,3,7
19,19,2. Oban - Bal-na-Bok,,greenstone,,,height above sea level : 300 feet,"N. - S.,",,1,,"M‘Kinnon, S.",4,7
20,20,2. Oban - Oban - Connal Ferry - Dunbeg,,,,,,,,1,,DBrown,6,7
21,21,2. Oban - N.N.W.,11 x 6 - wide : 300 feet,,,,height above sea level : 250 feet,N.N.W. - S.S.E.,,1,,,1,8
22,22,2. Oban - N.N.W.,,slate - granite,,,,,,1,clay,,3,8
23,23,2. Oban - N.N.W.,,,,,,,,1,,,4,8
24,24,2. Oban - Ben Cruachan - Loch Etive,,,,,,E.S.E.,,1,,,5,8
