,Numbers,Location,Size,Rocktype,Page_Number,Extra,BNum,Author,Verified
0,0,Ballater - Morven,,granite,21,,Several,Jamieson,CORRECT
1,1,Belhelvie - Caple Stone,8 Diameter,Gneiss,21,,1,"(Reporter—Alex. Cruickshanks, Aberdeen.)",CORRECT
2,2,Belehive - King Street Road,3 x 2,Sienite,21,,1,"(Reporter—Alex. Cruickshanks, Aber-",CORRECT
3,3,Cairney Quarry ,,Granite,21,clay,1,"(Reporter—Alex. Cruickshanks, Aber-",CORRECT
4,4,Bourtie,16 x 6 x 5,Greenstone,21,Druidical,4,"(Reporters—Rev. Dr Bissct, and Mr Jamieson of Ellon.)",INCORRECT
5,5,Bourtie - Barra Hill,24 Circumference,Whinstone,21,"""Wallace's putting stone"", Legend",1,"(Reporters—Rev. Dr Bissct, and Mr Jamieson of Ellon.)",INCORRECT
6,6,Bourtie,16 x 6,Whinstone,21,"""Pipers Stone""",1,"(Reporters—Rev. Dr Bissct, and Mr Jamieson of Ellon.)",INCORRECT
7,7,Bourtie,16 x 6,Whinstone,21,"""Maiden Stane""",1,"(Reporters—Rev. Dr Bissct, and Mr Jamieson of Ellon.)",INCORRECT
8,8,Braemar - Glen suggan,,granite,22,Quartz,5,"Mr Jamieson, Ellon",CORRECT
9,9,Braemar - Cairn a Drochid,,granite,22,,Several,"Mr Jamieson, Ellon",CORRECT
10,10,Cruden - Boddom Dean,37 Circumference 27 Height,granite,22,"""The Hanging Stone"", Grantie",1,"Buchan, Peterhiead, James Mitehell",CORRECT
11,11,Cruden - Boddom Dean,,granite,22,"""The grey Stone"", Broken up for parish church walls",1,"Buchan, Peterhiead, James Mitehell",CORRECT
12,12,Cruden - Menie Coast Guard Station,54 Circumference 7 High,granite,22,,60,,INCORRECT
13,13, - Menie,,Crystaline Rock,23,clay,1,"Jamieson, Geol. Soe. Journ",INCORRECT
14,14, - Menie,,greenstone,23,clay,1,"Jamieson, Geol. Soe. Journ",INCORRECT
15,16,Bullars of Buchan,14 x 8 x 5,granite,23,,1,Mr James Mitchell Boddam,CORRECT
16,17,Bullars of Buchan,13 x 9 x 5,granite,23,,1,,CORRECT
