,Numbers,Location,Size,Rocktype,Page_Number,BNum,Extra,Author,Verified
0,1,Argyllshire - Glenelg - Valley of the Elg ,21 x 18 x 10,Grey Granite,2,1,Macrae Boulder -  Clay - Schists,,CORRECT
1,2,Argyllshire - Glen Rossdale,5 x 4 x 3,Red Granite,2,1,,,CORRECT
2,3,Argyllshire - Glenelg - Valley of the Elg ,12 x 15 x 7,,3,1,,,CORRECT
3,4,Argyllshire - Glen Rossdale,,Granite,3,6,Mica Schist,,CORRECT
4,5,Argyllshire - Glen Rossdale,20 Diameter,Granite,3,1,Mica Slate,,CORRECT
5,6,The Pass of Brander - River bank,,Red Granite,8,2,Slaty Schistose,,CORRECT
6,7,Inveraray - Bras Leckan,,Dark grey porphyry,9,Several ,,,CORRECT
7,8,Inveraray - North,,Greenish Grey Silurian ,9,1,Gravel,,CORRECT
8,8,Inveraray - North,10 x 9 x 7,Greenish Grey Silurian ,9,1,,,CORRECT
9,8,Inveraray - NW Hills,,Greenish Grey Silurian ,9,Several,,,CORRECT
10,9,Oban and Neighbourhood - Dunolly,12 x 8 x 6,Grey Granite,9,1,Sea beach,,CORRECT
11,9,Oban and Neighbourhood - Loch Etive,,Grey Granite,10,1,,,CORRECT
12,9,Oban and Neighbourhood - Kerrera Island,,Grey Granite,10,Several,Beach,,CORRECT
13,9,Oban and Neighbourhood - Hills,,Grey Granite - Quartz - Felspar,10,Several,Clay Slate,,
14,9,Oban and Neighbourhood - Inverlievern ,11 x 7 x 7,Grey Granite,11,1,Smaller Boulders,,CORRECT
15,9,Oban and Neighbourhood - Loch Etive - Glen Logan,Large,,11,2,,,CORRECT
16,10,Fasnacloich Farm on Loch Creran,30 Girth,Dark porphyry,11,1,Boulder broken ,,CORRECT
17,10,Fasnacloich Farm on Loch Creran,25 x 23 x 15,Dark porphyry,11,1,Trees on boulder,,CORRECT
18,10,Appin,15 x 11 x 10,Dark porphyry,13,2,Blue clay slate ,,CORRECT
19,11,Crinan Canal - Summit,,,14,Several,,,CORRECT
20,12,Islay - Lossit Farm,13 x 8 x 8,Quartz - Augite - Hornblende - Silurian,15,5,Yellow Clay - Slaty Schist,,CORRECT
21,12,Islay - Arnahoo Farm,,Porphyry,16,1,,,CORRECT
22,12,Islay - Persibus Farm,,Porphyry,17,5,,,CORRECT
23,12,Islay - Persibus Farm,12 x 18 x 11 ,Porphyry - hornblende,17,1,Clay slate,,CORRECT
24,12,Islay - Bridgend - Port Helen,7 Diameter,,17,5,,,CORRECT
25,12,Islay - Kilcheran,,Porphyry,18,Several,Blue Slate,,CORRECT
26,13,Peninsula between Firth of Clyde and Loch Striven - Dunoon - Kirn ,"15 x 8 x 6, 15 x 12 x 6",Mica Sandstone,19,Several,Blue Slate,,CORRECT
27,13,Peninsula between Firth of Clyde and Loch Striven - Innellen,,,19,Several,,,CORRECT
28,13,Loch Striven - East shore,,Light grey Schist - Quartz,20,,“Stone of the Witch” - Slaty Schist,,CORRECT
29,13,Ach-na-foud Farm ,,,20,1,,,CORRECT
30,1,Berwickshire - Dunse Parish,,Porphyry,20,Several,"Sandstones with fossils, Gravel, Clay",,CORRECT
31,1,Dumbartonshire - Loch Lomond - Farm of Callendoon,28 x 19 x 12,Mica Schist ,21,1,"“Kerstone Gallech”, Sunken gravel",,CORRECT
32,2,Dumbartonshire - Loch Lomond - Farm of Callendoon,,Mica Schist ,21,Several,Old Red Sandstone,,CORRECT
33,3,Dumbartonshire - Loch Lomond - Arden,,Primitive,21,Several,,,CORRECT
34,4,Dumbartonshire - Cameron House,6 x 5 x 5 ,Gneiss,22,1,Gravel,,CORRECT
35,5,Dumbartonshire - Caer man hill,,Porphyry,22,Several,,,CORRECT
36,1,East Lothian - Linton ,5 x 3 x 3,Greenstone,22,1,"Clay - Pebbles of Limestone, shale, sandstone and coal.",,CORRECT
37,1,Fife - Isle of may,,Sienitic ,23,Several,,,CORRECT
38,2,Fife - Bogward Den ,,Conglomerate,23,1,“Devil threw it”,,CORRECT
39,3,Fife - Kincraig Beach,23 Girth 4 Height,Granite,23,1,,,CORRECT
40,4,Fifle - Elic,8 x 4 x 2 ,Whinstone,23,1,,,CORRECT
41,1,Inverness - Glen Doe ,14 x 11 x 7,Red Granite,25,1,"Gravel, Sand, Detritus",,CORRECT
42,1,Inverness - Glen Doe ,"30 Yards in Girth, 15 Feet in Height",Red Granite,26,1,"“The Glen Morrison Stone”, Gravel, Sand, Detritus",,CORRECT
43,1,Inverness - Clachanaharry,16 High,,26,1,,,CORRECT
44,1,Mid Lothian - Craiglockhart Hill,,"Blue Whinstone, Red Sandstone",26,Several,Boulder clay,,CORRECT
45,2,Mid Lothian - Granton Harbour ,Very Large,Blue Whinstone,27,1,Beach,,CORRECT
46,2,Mid Lothian - Granton Harbour ,Very Large,Blue Whinstone,27,1,"Beach, Used to moor boats",,CORRECT
47,3,Mid Lothian - New docks ,10 x 8 x 6, Whinstone,27,Several,Boulder Clay,,CORRECT
48,3,Mid Lothian - New docks ,"7’ Circumference, 30’ Girth","Marcasite, White Iron pyrites, Silica ",28,Several,"Boulder Clay, Spherical, Metallic",,CORRECT
49,4,Mid Lothian - Alnwick Hill,7 x 4 x 2 ,"Red Sandstone, Limestone, Greenstones, Basalt, Felspathic",30,Several,Boulder clay,,
50,5,Mid Lothian - Tynecastle,4 x 4 x 2 ,Basalt,31,1,"Sand, Quartz, Shale, Coal",,CORRECT
51,1,Peebleshire - Peebles,2 x 2 x 7 ,White Quartz,31,1,“White Stone Knowe”,,CORRECT
52,1,Perthshire - Loch Tay - Morenish Farm,,"Rock, Mica Schist ",32,Several ,Detritus,,CORRECT
53,2,Perthshire - Glen Dochart Valley,13 x 12 x 8 ,Granite,32,Several,Detritus,,CORRECT
54,2,Perthshire - Glen Dochart - Wester Lix,12 x 9 x 5,Granite,32,Several,"Detritus, Rock",,CORRECT
55,1,Rossshire - Auchnasheen,15 Girth ,,33,1,Detritus,,CORRECT
56,1,Sirlingshire - Sherrifmuir,Large,,34,1,“Wallaces Putting Stone”,,CORRECT
57,1,Chillingham Park - Northumberland,3 x 2 x 2,Granite,34,Several,"Sandstone, Limestone, was in Scotland now in northumberland",,CORRECT
58,A),Campsie District - Craigend moor ,,Sandstone,40,,Quartz pebbled,,CORRECT
59,D),Campsie District - Craigend moor ,"27 Circumference, 4 height, 6 height ",Trap,41,2,,,
60,D),Campsie District - Craigend moor ,,Grey Granite,41,1,Felspar Crystals,,CORRECT
61,G),Campsie District - Croyhill,,Conglomerate,42,Several,Trap,,CORRECT
62,H),Campsie District - Kilsyth hills,,Mica Slate,42,1,,,CORRECT
63,H),Campsie District - North Hill,,Conglomerate,42,1,,,CORRECT
64,1,Staffa,,"Red Granite, Gniess",45,Several,"Basalt, Greenstone",,CORRECT
65,2,Nairnshire ,,Conglomerate,45,Several,,,CORRECT
66,3,Island of Lismore,,Granite,45,Several,Limestone,,CORRECT
,-,-,-,-,-,-,-,-,46 -> Needs another read perhaps
