,Numbers,Location,Size,Rocktype,Volume,Weight,Height above sea level,Compass,Distance,Number of Boulders mentioned,Extra,Author,Paragraph,Page
0,0,Edinburgh,6 x 5 x 4 - long : 3 feet,sienitic - granite - hornblende,,weight : 2 tons,,"E. - W. - N.W., - W.S.W.",,1,,"Cruick, Nicol",1,769
1,1,pa - Edinburgh,6 x 5 x 4 - long : 3 feet,sienitic - granite - hornblende,,weight : 2 tons,,"E. - W. - N.W., - W.S.W.",,1,,"Cruick, Nicol",1,769
2,2,Edinburgh,6 x 5 x 4 - long : 3 feet,sienitic - granite - hornblende,,weight : 2 tons,,"E. - W. - N.W., - W.S.W.",,1,,"Cruick, Nicol",1,769
3,3,King Street,5 x 3,,,,,,,1,,,2,769
4,4,Aberdeen - Urquhart Road,,granite - sand,,,,,,1,bed - sand,,3,769
5,5,Aberdeen,,trap - granite - gneiss,,,,,,1,shingle - gravel,,4,769
6,6,"Foveran - Drums Farm - Boulder - “The Grey Stone,”",8 x 5 - circumference : 54 feet - height : 7 feet - circumference : 78 feet,granite,,,,,,1,gravel - red clay,,5,769
7,7,Foveran - Morven,,granite - quartzite - gneiss - greenish hornblende - white felspar,,,,,,1,,,1,770
8,8,"Foveran - Belhelvie - Sienitic - Kepple Stone - ‘“Kepple Stone,”",diameter : 8 feet,granite,,,,,,1,,,2,770
9,9,"Foveran - Bourtie - ¢Altar Stone,” - ¢Bell Stane,” - *Wallace's Putting Stone,” - ““Pipsr's Stone” - ¢Maiden Stone,”",girth : 24 feet,greenstone,,weight : 18 tons - weight : 20 tons,,,,1,,"Bell Stane, Wallace",3,770
10,10,Boddam - Bullers of Buchan - Hare - Cleft Stone - Cruden - Peterhead,9 x 8,granite,,,,,,1,,,4,770
11,11,Boddam - Peterhead Bay - Buchan Ness,"14 x 8 x 5, 18 x 12 x 51, 13 x 9",granite - gneiss - trap - sandstone,,,,,,1,,,5,770
12,12,"Boddam - Boddam Dean - Ardendraught - “The Hanging Stons,”",girth : 37 feet,granite,,weight : 20 tons,,,,1,,,6,770
13,13,"Boddam - Cairn-a - Ellon - ¢Cairn-a- Drochet,”",long : 12 feet,granite - quartzite - gneiss,,,,,,1,,"Jamieson, Jamieson",7,770
14,14,Boddam - Edinburgh - Session,,porphyry - quartz,,,height above sea level : 3587 feet,,,1,,Jamieson,1,771
15,15,Boddam - Boulder19,19 x 154 x 111,,,,,E. - W. - N.,,1,,Devil,2,771
16,16,"Boddam - Culsalmond. - Boulder - Newton Stone - ¢Newton Stone,”*",high : 61 feet - girth : 51 feet,blue gneiss,,,,,,1,,,3,771
17,17,Boddam - W. - N.W,,gneiss - granite,,,,"W. - N.W. - W.N.W. - N.W.,",,7,,,4,771
18,18,Boddam - Quarry Hill,,,,,,,,1,,,5,771
19,19,"Boddam - Soutar's Stone - N.W - ““Soutar's Stone,”",Height : 3500 feet,granite,,,height above sea level : 270 tons,"S.E. - N.W. - N. - S. - N.W.,",,1,,,6,771
20,20,Boddam - Green of Savoch - Coldwells - Toddlehills,,,,,,,,1,,,8,771
21,21,Boddam - Secottish Antiquaries,,gneiss,,,,,,1,,,9,771
22,22,Boddam - Royal Socicty Ellon - Culsh Hill,,,,,,,,1,,,1,772
23,23,Boddam - Don - Druidical,height : 7 feet,granite,,,,,,1,,,2,772
24,24,Boddam - “All Hallow Fires”,girth : 37 feet,Granite - granite,,,,,,1,,,3,772
25,25,Boddam - Ellon.,22 x 91 x 8,,,,,"W, - W.N.W.",,1,,,4,772
26,26,Boddam - Ellon.,,,,,height above sea level : 1000 feet,,,1,,,5,772
27,27,Boddam - Peterhead - Invernettie Brick - Caithness - Aberdeenshire,,sandstone,,,,,,1,,,8,772
28,28,Boddam - Edinburgh - ARGYLESHIRE,,,,,,,,1,,,1,773
29,29,Boddam - Campbelton,,,,,,N.E.,,1,pebbles - gravel,Nicol,2,773
30,30,Boddam - Kilhenzie - Campbeélton,,mica - slate,,,height above sea level : 600 feet - height above sea level : 150 tons,,,1,,,4,773
31,31,Boddam - N.N.W.,,Sandstone - granite - gneiss,,,,N.N.W.,,1,bank,,5,773
32,32,Boddam - S. - W. Boulder,,gneiss - mica - schist,,,,"N. - E, - S. - W.",,1,,,6,773
33,33,Boddam - Tangy Burn,wide : 6 feet,mica - slate - gneiss,,weight : 15 tons,,N. - N.E.,,1,,,7,773
34,34,Boddam - Mourne Mountains - N.E. of Ireland - Kintyre,,granite,,,,N.E.,,1,,Heddle,8,773
35,35,Boddam - Royal Society Loch Long. - Gareloch - E.,11 x 6 x 6 - Long : 6 feet,mica - slate,,,height above sea level : 350 feet,"N. - E.,",,1,clay,,1,774
36,36,Boddam - Gareloch - Shandon - N.W,18 x 15 x 12,gneiss,,,,N.W.,,1,,,2,774
37,37,Boddam - Gareloch - Shandon - N.W,,granite,,,,N.N.W.,,1,,"Charles Maclaren, Maclaren",3,774
38,38,"Boddam - Ardentinny - ¢Jenny Meullens,”",,gneiss,,,,,,1,,Jenny Meullens,4,774
39,39,"Boddam - Ardentinny - ¢Jenny Meullens,”",12 x 8 x 8,gneiss,,,,"N.W. - N. - N, - W.",,1,,N. Strize,5,774
40,40,"Boddam - Loch Goil - Carrick Castle - “Clach Udalain” - “Stone unstable”),",,gneiss - slate,,,height above sea level : 1526 feet - height above sea level : 300 tons,,,1,clay,,6,774
41,41,Boddam - Knap Farm.,,Knap,,,,,,1,,,8,774
42,42,"Boddam - ¢ Pulag,”—Dbutted",,Gneiss,,,height above sea level : 824 feet,,,1,,Glen Finnart,9,774
43,43,Boddam - Dunoon - Kirn - Innellan - Toward Lighthouse - Loch Striven,,,,,,,,1,,,10,774
44,44,Boddam - Ldinburgh,,,,,,N.W.,,1,,Dugald Bell,1,775
45,45,Boddam - Loch Glashan - N.N.E. - Loch Awe,,,,,height above sea level : 400 feet,N.N.E. - N.E. - N.W.,,2,,,2,775
46,46,Boddam - East Loch Tarbert.,high : 8 feet - width : 5 feet,gneiss,,,height above sea level : 710 feet,N.W.,,1,,Capel Cloiche,3,775
47,47,Boddam - Loch Glashan - N.N.E. - Loch Awe,,,,,height above sea level : 400 feet,N.N.E. - N.E. - N.W.,,2,,,2,775
48,48,Boddam - Boulder - S.,,,,,height above sea level : 400 feet,S. - S.W.,,1,,,2,776
49,49,Boddam - Boulder - S.,,sienitic - gneiss - slate,,,,,,1,clay,,5,776
50,50,Boddam - Boulder - S.,,,,,,,,3,,,6,776
51,51,Boddam - Ben Breac,14 x 12 - Height : 57 feet,Granite - sand,,,,,,1,sand - gravel,Captain White,7,776
52,52,Boddam - Lockh Fyne. - Loch Guir,23 x 17 x 12,gneiss,,weight : 286 tons,,"N.N.E. - S.S. - W,",,1,knoll - gravel,,8,776
