,Numbers,Location,Size,Rocktype,Page_Number,BNum,Extra,Author,Verified
0,1,Lochlong - Peaton,24 x 18 x 12,Gneiss,"1,2",1,Clay,,CORRECT
1,2,Lochlong - Peaton - Sea Margin,,,2,Several,,,CORRECT
2,3,Lochlong - Beach,12 x 8 x 8,Gneiss,2,1,,,CORRECT
3,4,Lochlong - Beach,,Clay Slate,2,Several,Clay,,CORRECT
4,5,Lochgoil - Carrick Castle,,Gneiss,2,,Clay Slate,,CORRECT
5,6,Lochgoil - Lochlong,,,3,1,Giant’s Putting-Stone’,,CORRECT
6,7,Knap Farm-house,,,3,10,,,CORRECT
7,8,Valley of Knap ,,,3,Several,,,CORRECT
8,9,Glenfinnart,7 Feet High,Gneiss,3,Several,Pulag boulder,,CORRECT
9,10,Glenfinnart,,,4,Several,,,CORRECT
10,11,Ayrshire - Ardrossan,19 x 19,Porhyritic,4,1,Boydstone Rock or Stone,,CORRECT
11,11,Ayrshire - Ardrossan,,Old Red Sandstone,4,Several ,,,CORRECT
12,12,Dunblane - Cromlix,17 x 10 x 5,Gneiss,5,1,,,CORRECT
13,12,Dunblane - Cromlix,,Silurian,,4,,,CORRECT
14,13,Leith - Albert New Docks ,,Sandstone,,,Clay,,
15,,,,,,,,,
16,,,,,,,,,
