,Numbers,Location,Size,Volume,Weight,HASL,Compass,Distance,Rocktype,Extra,BNum,Author,Verified,Page_Number,par_num
0,0,Lochlang - Ardentinny - Peaton,,,,,,,gneiss - slate,clay,1,,NOT VERIFIED,0,1
1,1, ,,,,,,,gneiss - slate,clay,1,,NOT VERIFIED,0,1
2,2,"*Jenny Meallen,”",24 x 18 x 12,,,height above sea level : 226 feet,,,,knoll,1,Jenny Meallen,NOT VERIFIED,1,1
3,3,Plate II,height : 5 feet,,weight : 84 tons,height above sea level : 2000 feet - height above sea level : 450 feet,,,gneiss - Silurian,gravel,4,Drummond,NOT VERIFIED,1,2
4,4,"*Hunterston Boulder.” - '*Boydstone Rock or Stone,”",high : 5 feet,volume : 40 cubic yards,,height above sea level : 45 feet,,,Sandstone,clay,8,Alexander,NOT VERIFIED,1,3
5,5,"Lochlong - Glenfinnart Valley - “ Letter,” - “Pig's Back.”",12 x 8 x 8 - long : 8 feet,,,height above sea level : 4B0 feet,"N.W,",,gneiss - Knap,,1,,NOT VERIFIED,1,4
6,6,"points N.W, by N - Plate TII",,,,,"N., - W,",,slate,clay,1,,NOT VERIFIED,1,5
7,7,"points N.W, by N - Carrick Castle - Lochgoil - N.N.E. - i.c - ““Clach udelain,”",high : 7 feet,,,height above sea level : 1528 feet - height above sea level : 824 feet,,,gneiss - slate,clay,3,Aroand,NOT VERIFIED,1,6
8,8,"points N.W, by N - Carrick Castle - Lochgoil - N.N.E. - i.c - ““Clach udelain,”",,,,,,,,,1,,NOT VERIFIED,1,7
9,9,"points N.W, by N - Lochgoil - Lochiong - *Giant's Put- ting-Stone,”",long : 12 inches,,,height above sea level : 450 feet,N. - E.,,gneiss,,1,"Alexander, Alexander",NOT VERIFIED,1,8
10,10,"points N.W, by N - Plate II",height : 5 feet,,weight : 84 tons,height above sea level : 2000 feet - height above sea level : 450 feet,,,gneiss - Silurian,gravel,4,Drummond,NOT VERIFIED,1,2
11,11,"points N.W, by N - *Hunterston Boulder.” - '*Boydstone Rock or Stone,”",high : 5 feet,volume : 40 cubic yards,,height above sea level : 45 feet,,,Sandstone,clay,8,Alexander,NOT VERIFIED,1,3
12,12,"points N.W, by N - Lochlong - Glenfinnart Valley - “ Letter,” - “Pig's Back.”",12 x 8 x 8 - long : 8 feet,,,height above sea level : 4B0 feet,"N.W,",,gneiss - Knap,,1,,NOT VERIFIED,1,4
13,13,"points N.W, by N - Plate TII",,,,,"N., - W,",,slate,clay,1,,NOT VERIFIED,1,5
14,14,"points N.W, by N - Carrick Castle - Lochgoil - N.N.E. - i.c - ““Clach udelain,”",high : 7 feet,,,height above sea level : 1528 feet - height above sea level : 824 feet,,,gneiss - slate,clay,3,Aroand,NOT VERIFIED,1,6
15,15,"points N.W, by N - Lochgoil - Lochiong - *Giant's Put- ting-Stone,”",long : 12 inches,,,height above sea level : 450 feet,N. - E.,,gneiss,,1,"Alexander, Alexander",NOT VERIFIED,1,8
16,16,"points N.W, by N - Plate II",height : 5 feet,,weight : 84 tons,height above sea level : 2000 feet - height above sea level : 450 feet,,,gneiss - Silurian,gravel,4,Drummond,NOT VERIFIED,1,2
17,17,"points N.W, by N - *Hunterston Boulder.” - '*Boydstone Rock or Stone,”",high : 5 feet,volume : 40 cubic yards,,height above sea level : 45 feet,,,Sandstone,clay,8,Alexander,NOT VERIFIED,1,3
18,18,"points N.W, by N - Lochgoil - Lochiong - *Giant's Put- ting-Stone,”",long : 12 inches,,,height above sea level : 450 feet,N. - E.,,gneiss,,1,"Alexander, Alexander",NOT VERIFIED,1,8
19,19,"points N.W, by N - Plate II",height : 5 feet,,weight : 84 tons,height above sea level : 2000 feet - height above sea level : 450 feet,,,gneiss - Silurian,gravel,4,Drummond,NOT VERIFIED,1,2
20,20,"points N.W, by N - *Hunterston Boulder.” - '*Boydstone Rock or Stone,”",high : 5 feet,volume : 40 cubic yards,,height above sea level : 45 feet,,,Sandstone,clay,8,Alexander,NOT VERIFIED,1,3
21,21,"points N.W, by N - Granton - Craigleith Quarries",,,,,,,sandstone - shale,clay - sand,1,,NOT VERIFIED,2,1
22,22,"points N.W, by N - Gairloch - Lachlong",,,weight : 80 tons,height above sea level : 1000 feet - height above sea level : 3000 feet - height above sea level : 2000 feet - height above sea level : 600 feet,"N.N.W., - N.W.",,granite - slate - mica,clay - gravel,1,"Charles M‘Laren, M‘Laren",NOT VERIFIED,2,2
23,23,"points N.W, by N - Switzerland",,,,height above sea level : 2000 feet,,,,,1,M‘Laren,NOT VERIFIED,2,3
24,24,"points N.W, by N - Gairloch - Lachlong",,,weight : 80 tons,height above sea level : 1000 feet - height above sea level : 3000 feet - height above sea level : 2000 feet - height above sea level : 600 feet,"N.N.W., - N.W.",,granite - slate - mica,clay - gravel,1,"Charles M‘Laren, M‘Laren",NOT VERIFIED,2,2
25,25,"points N.W, by N - Kinmundy",,,,,,,,,1,"Ferguson, Bryce, T. Brown",NOT VERIFIED,3,2
