,Numbers,Location,Size,Rocktype,Page_Number,FullBB,LBB,SBB,RBB,par_num
0,0,N.,,granite,5,"(530, 1578, 3332, 2357)","[(1577, 1856, 1664, 1927)]",[],"[(530, 1992, 831, 2086)]",2
1,1,N.,,granite,5,"(530, 1578, 3332, 2357)","[(1577, 1856, 1664, 1927)]",[],"[(530, 1992, 831, 2086)]",2
2,2,Dunans Knoll,,granite,5,"(532, 2392, 3342, 3432)","[(668, 2664, 976, 2736), (1024, 2662, 1272, 2753)]",[],"[(1226, 2528, 1504, 2622)]",3
3,3,Dunans Knoll,,granite,5,"(532, 2392, 3342, 3432)","[(668, 2664, 976, 2736), (1024, 2662, 1272, 2753)]",[],"[(1226, 2528, 1504, 2622)]",3
4,4,Dunans Knoll,,gravel,5,"(544, 3465, 3348, 4779)",[],[],"[(2660, 3469, 2899, 3563)]",4
5,5,S.E.,,conglomerate,5,"(564, 4816, 3346, 5312)","[(1921, 5084, 2112, 5174)]",[],"[(1192, 4818, 1719, 4912)]",5
6,6,Worrara,5 x 3 x 3,clay,6,"(839, 372, 3626, 5563)","[(2417, 5510, 2710, 5563)]","[(2703, 710, 2745, 779), (2777, 733, 2821, 780), (2855, 709, 2898, 780), (2931, 735, 2969, 776), (3007, 708, 3048, 778)]","[(2328, 583, 2487, 677)]",1
7,7,Worrara,5 x 3 x 3,clay,6,"(839, 372, 3626, 5563)","[(2417, 5510, 2710, 5563)]","[(2703, 710, 2745, 779), (2777, 733, 2821, 780), (2855, 709, 2898, 780), (2931, 735, 2969, 776), (3007, 708, 3048, 778)]","[(2328, 583, 2487, 677)]",1
8,8,Professor Blackie,Length :None Breadth : 300 Height : 120,granite,6,"(835, 972, 3628, 2676)","[(3257, 972, 3628, 1045), (845, 1109, 1197, 1182)]","[(1491, 1912, 1745, 2006), (2408, 2176, 2644, 2248), (2699, 2177, 2776, 2249)]","[(836, 1780, 1113, 1874)]",2
9,9,Professor Blackie,Length :None Breadth : 300 Height : 120,granite,6,"(835, 972, 3628, 2676)","[(3257, 972, 3628, 1045), (845, 1109, 1197, 1182)]","[(1491, 1912, 1745, 2006), (2408, 2176, 2644, 2248), (2699, 2177, 2776, 2249)]","[(836, 1780, 1113, 1874)]",2
10,10,Professor Blackie,Length :None Breadth : 300 Height : 120,granite,6,"(835, 972, 3628, 2676)","[(3257, 972, 3628, 1045), (845, 1109, 1197, 1182)]","[(1491, 1912, 1745, 2006), (2408, 2176, 2644, 2248), (2699, 2177, 2776, 2249)]","[(836, 1780, 1113, 1874)]",2
