,Numbers,Location,Size,Rocktype,Volume,Weight,Height above sea level,Compass,Distance,Number of Boulders mentioned,Extra,Author,Paragraph,Page
0,0,"of Edinburgh, Session   ABERDEENSHIRE, Aberdeen, Town of - Edinburgh",6 x 5 x 4 - long : 3 feet,sienitic - granite - hornblende,,weight : 2 tons,,"E. - W. - N.W., - W.S.W.",,1,,"Cruick, Nicol",1,769
1,1,"of Edinburgh, Session   ABERDEENSHIRE, Aberdeen, Town of - King Street",5 x 3,,,,,,,1,,,2,769
2,2,"of Edinburgh, Session   ABERDEENSHIRE, Aberdeen, Town of - Aberdeen - Urquhart Road",,granite - sand,,,,,,1,bed - sand,,3,769
3,3,"of Edinburgh, Session   ABERDEENSHIRE, Aberdeen, Town of - Aberdeen",,trap - granite - gneiss,,,,,,1,shingle - gravel,,4,769
4,4,"Foveran - Drums Farm - Boulder - “The Grey Stone,”",8 x 5 - circumference : 54 feet - height : 7 feet - circumference : 78 feet,granite,,,,,,1,gravel - red clay,"(Seventh Report, pa 39)",5,769
5,5,Ballater - Morven,,granite - quartzite - gneiss - greenish hornblende - white felspar,,,,,,1,,"(Seventh Report, pa 40)",1,770
6,6,"Ballater - Belhelvie - Sienitic - Kepple Stone - ‘“Kepple Stone,”",diameter : 8 feet,granite,,,,,,1,,"(First Report, pa 21)",2,770
7,7,"Ballater - Bourtie - ¢Altar Stone,” - ¢Bell Stane,” - *Wallace's Putting Stone,” - ““Pipsr's Stone” - ¢Maiden Stone,”",girth : 24 feet,greenstone,,weight : 18 tons - weight : 20 tons,,,,1,,"Bell Stane, Wallace",3,770
8,8,Boddam - Bullers of Buchan - Hare - Cleft Stone - Cruden - Peterhead,9 x 8,granite,,,,,,1,,,4,770
9,9,Boddam - Peterhead Bay - Buchan Ness,"14 x 8 x 5, 18 x 12 x 51, 13 x 9",granite - gneiss - trap - sandstone,,,,,,1,,"(First Report, pa 23, and Second Report, pa 20)",5,770
10,10,"Boddam - Boddam Dean - Ardendraught - “The Hanging Stons,”",girth : 37 feet,granite,,weight : 20 tons,,,,1,,"(First Report, pa 2)",6,770
11,11,"Braemar - Cairn-a - Ellon - ¢Cairn-a- Drochet,”",long : 12 feet,granite - quartzite - gneiss,,,,,,1,,"(First Report, pa 22, and Seventh Report, pa 41)",7,770
12,12,Braemar - Edinburgh - Session,,porphyry - quartz,,,height above sea level : 3587 feet,,,1,,Jamieson,1,771
13,13,Chapel Garioch - Boulder19,19 x 154 x 111,,,,,E. - W. - N.,,1,,Devil,2,771
14,14,"Culsalmond - Culsalmond. - Boulder - Newton Stone - ¢Newton Stone,”*",high : 61 feet - girth : 51 feet,blue gneiss,,,,,,1,,"(Fivst Report, pa 24)",3,771
15,15,Kemnay - W. - N.W,,gneiss - granite,,,,"W. - N.W. - W.N.W. - N.W.,",,7,,,4,771
16,16,Kemnay - Quarry Hill,,,,,,,,1,,"(First Report, pa 24, and Second Report, pa 148)",5,771
17,17,"Kemnay - Soutar's Stone - N.W - ““Soutar's Stone,”",Height : 3500 feet,granite,,,height above sea level : 270 tons,"S.E. - N.W. - N. - S. - N.W.,",,1,,"(Second Report, pa 148)",6,771
18,18,New Deer - Green of Savoch - Coldwells - Toddlehills,,,,,,,,1,,,8,771
19,19,New Deer - Secottish Antiquaries,,gneiss,,,,,,1,,,9,771
20,20,New Deer - Royal Socicty Ellon - Culsh Hill,,,,,,,,1,,"(First Report, pa 25)",1,772
21,21,Towie - Don - Druidical,height : 7 feet,granite,,,,,,1,,,2,772
22,22,Cruden - “All Hallow Fires”,girth : 37 feet,Granite - granite,,,,,,1,,"(First Report, pa 22)",3,772
23,23,Ellon - Ellon.,22 x 91 x 8,,,,,"W, - W.N.W.",,1,,"(First Report, pa 24)",4,772
24,24,Ellon - Ellon.,,,,,height above sea level : 1000 feet,,,1,,,5,772
25,25,G'lass - Peterhead - Invernettie Brick - Caithness - Aberdeenshire,,sandstone,,,,,,1,,,8,772
