,Numbers,Location,Size,Rocktype,Page_Number,Extra,BNum,Author,Verified
0,0,Ballater - Morven,,granite,21,,Several,Jamieson,CORRECT
1,1,Belhelvie - Caple Stone,8 Diameter,Gneiss,21,,1,"(Reporter—Alex. Cruickshanks, Aberdeen.)",CORRECT
2,2,Belehive - King Street Road,3 x 2,Sienite,21,,1,"(Reporter—Alex. Cruickshanks, Aber-",CORRECT
3,3,Cairney Quarry ,,Granite,21,clay,1,"(Reporter—Alex. Cruickshanks, Aber-",CORRECT
4,4,Bourtie,16 x 6 x 5,Greenstone,21,Druidical,4,"(Reporters—Rev. Dr Bissct, and Mr Jamieson of Ellon.)",INCORRECT
5,5,Bourtie - Barra Hill,24 Circumference,Whinstone,21,"""Wallace's putting stone"", Legend",1,"(Reporters—Rev. Dr Bissct, and Mr Jamieson of Ellon.)",INCORRECT
6,6,Bourtie,16 x 6,Whinstone,21,"""Pipers Stone""",1,"(Reporters—Rev. Dr Bissct, and Mr Jamieson of Ellon.)",INCORRECT
7,7,Bourtie,16 x 6,Whinstone,21,"""Maiden Stane""",1,"(Reporters—Rev. Dr Bissct, and Mr Jamieson of Ellon.)",INCORRECT
8,8,Braemar,,granite,22,,1,,NOT VERIFIED
9,9,Braemar,,granite,22,,1,,NOT VERIFIED
10,10,C('ruden - Boddom Dean,,granite,22,,1,"Buchan, Peterhiead, James Mitehell",NOT VERIFIED
11,11,C('ruden - Boddom Dean,,granite,22,,1,"Buchan, Peterhiead, James Mitehell",NOT VERIFIED
12,12,vole - Menie Coast Guard Station,,granite,22,,60,,NOT VERIFIED
13,13, - Menie,,greenstone,23,clay,1,"Jamieson, Geol. Soe. Journ",NOT VERIFIED
14,14, - Menie,,greenstone,23,clay,1,"Jamieson, Geol. Soe. Journ",NOT VERIFIED
15,15, - Menie,,greenstone,23,clay,1,"Jamieson, Geol. Soe. Journ",NOT VERIFIED
16,16, - Buchan,,granite,23,,1,,NOT VERIFIED
17,17, - Buchan,,granite,23,,1,,NOT VERIFIED
18,18,Fllon - Ythan,22 x 9,sienitic,24,,1,Jamieson,NOT VERIFIED
